Id,Stream,Long,Lat,Description
1,Salmo River,-117.273048,49.17137,South end of Carney Mill Road in Salmo. Turn left onto Pearson Road to access the river. 
2,Salmo River,-117.26552,49.188775,At the confluence where Erie Creek drains into Salmo River. Approx. 750m downstream of Main St bridge in Salmo.
